92,1410,1487,1198
119,687,1213,1490
148,1510,1806,1769
221,1068,775,23
298,1469,64,727
323,917,1225,1483
338,1358,553,1439
370,1981,1406,1687
385,1039,924,1640
463,404,1977,17
464,1073,1470,796
485,19,715,1828
511,699,672,1454
535,1154,1813,439
541,137,813,1397
545,826,1745,1050
580,1595,1225,24
625,1699,1596,880
633,357,71,147
706,1512,246,48
753,1949,663,755
837,556,1657,857
896,1425,1141,863
959,1093,1938,814
1020,934,1347,1943
1045,576,1445,840
1083,978,499,388
1123,219,1314,769
1152,1550,1266,1277
1227,1439,927,1035
1233,1143,32,1234
1297,1025,483,1984
1331,222,1321,1097
1357,134,1656,1694
1466,1408,1204,945
1514,239,691,983
1557,1508,116,220
1575,878,808,1724
1603,196,662,731
1608,1395,1304,58
1624,1031,1167,1103
1637,195,1691,933
1642,231,1275,1541
1646,343,898,1887
1677,1103,439,1850
1707,1086,319,447
1713,1462,70,341
1725,787,427,1968
1801,1690,1220,578
1815,1589,413,1622
1853,615,1814,1461
1886,802,1653,447
1917,704,1980,1584
1981,240,699,1932
1995,736,240,148
